pays,code_pays,année,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
 Afrique du Sud,202,2013,Maïs,2514,10480000.00,4715000.00,33000.00,405000.00,43000.00,5283000.00,0.00
 Afrique du Sud,202,2013,"Plantes Oleiferes, Autre",2570,16000.00,0.00,0.00,0.00,14000.00,0.00,1000.00
 Afrique du Sud,202,2013,Pommes de Terre,2531,2126000.00,217000.00,79000.00,109000.00,0.00,1618000.00,103000.00
 Albanie,3,2013,Maïs,2514,420000.00,361000.00,3000.00,44000.00,3000.00,6000.00,3000.00
 Albanie,3,2013,Orge,2513,19000.00,7000.00,0.00,1000.00,9000.00,1000.00,1000.00
 Albanie,3,2013,Riz (Eq Blanchi),2805,25000.00,0.00,0.00,0.00,0.00,25000.00,0.00
 Algérie,4,2013,Blé,2511,9461000.00,545000.00,153000.00,672000.00,0.00,7270000.00,820000.00
 Allemagne,79,2013,Blé,2511,16491000.00,7494000.00,571000.00,663000.00,90000.00,6900000.00,774000.00
 Allemagne,79,2013,Maïs,2514,7961000.00,6136000.00,63000.00,122000.00,626000.00,1003000.00,11000.00
 Allemagne,79,2013,"Plantes Oleiferes, Autre",2570,188000.00,26000.00,0.00,2000.00,148000.00,9000.00,3000.00
 Allemagne,79,2013,Pommes de Terre,2531,8197000.00,105000.00,406000.00,1230000.00,234000.00,5084000.00,1138000.00
 Argentine,9,2013,Maïs,2514,7881000.00,4923000.00,280000.00,516000.00,464000.00,433000.00,1266000.00
 Argentine,9,2013,"Plantes Oleiferes, Autre",2570,71000.00,0.00,1000.00,5000.00,75000.00,0.00,0.00
 Arménie,1,2013,Blé,2511,554000.00,93000.00,30000.00,32000.00,10000.00,389000.00,0.00
 Arménie,1,2013,Orge,2513,198000.00,137000.00,14000.00,15000.00,7000.00,0.00,26000.00
 Arménie,1,2013,Pommes de Terre,2531,672000.00,225000.00,123000.00,96000.00,78000.00,134000.00,16000.00
 Australie,10,2013,Blé,2511,6691000.00,3200000.00,631000.00,229000.00,66000.00,1645000.00,920000.00
 Autriche,11,2013,Blé,2511,1320000.00,467000.00,55000.00,40000.00,11000.00,689000.00,58000.00
 Autriche,11,2013,Maïs,2514,2161000.00,1157000.00,9000.00,51000.00,679000.00,105000.00,160000.00
 Autriche,11,2013,Pommes de Terre,2531,712000.00,8000.00,51000.00,48000.00,48000.00,496000.00,61000.00
 Azerbaïdjan,52,2013,Blé,2511,3484000.00,591000.00,142000.00,71000.00,323000.00,2093000.00,264000.00
 Azerbaïdjan,52,2013,Maïs,2514,372000.00,163000.00,1000.00,6000.00,24000.00,125000.00,51000.00
 Azerbaïdjan,52,2013,Orge,2513,822000.00,682000.00,73000.00,9000.00,57000.00,0.00,1000.00
 Azerbaïdjan,52,2013,Pommes de Terre,2531,1012000.00,37000.00,196000.00,6000.00,10000.00,695000.00,68000.00
 Bangladesh,16,2013,Riz (Eq Blanchi),2805,30432000.00,1031000.00,788000.00,1718000.00,0.00,26892000.00,4000.00
 Belgique,255,2013,Blé,2511,4293000.00,1000000.00,38000.00,28000.00,1608000.00,1243000.00,375000.00
 Belgique,255,2013,Orge,2513,1302000.00,917000.00,7000.00,34000.00,334000.00,4000.00,5000.00
 Bosnie-Herzégovine,80,2013,Graines Colza/Moutarde,2558,10000.00,2000.00,0.00,0.00,8000.00,0.00,0.00
 Bosnie-Herzégovine,80,2013,Maïs,2514,1030000.00,286000.00,8000.00,51000.00,109000.00,296000.00,280000.00
 Brunéi Darussalam,26,2013,Riz (Eq Blanchi),2805,44000.00,7000.00,0.00,2000.00,0.00,32000.00,3000.00
 Bulgarie,27,2013,Blé,2511,2104000.00,267000.00,238000.00,608000.00,93000.00,875000.00,23000.00
 Bulgarie,27,2013,Maïs,2514,1088000.00,105000.00,22000.00,167000.00,258000.00,194000.00,342000.00
 Bulgarie,27,2013,Orge,2513,340000.00,126000.00,35000.00,15000.00,133000.00,6000.00,25000.00
 Bulgarie,27,2013,"Plantes Oleiferes, Autre",2570,9000.00,1000.00,0.00,0.00,8000.00,0.00,0.00
 Burkina Faso,233,2013,Riz (Eq Blanchi),2805,434000.00,34000.00,5000.00,28000.00,4000.00,363000.00,0.00
 Bélarus,57,2013,Blé,2511,2324000.00,1339000.00,133000.00,82000.00,179000.00,566000.00,25000.00
 Bélarus,57,2013,Orge,2513,1699000.00,1250000.00,220000.00,24000.00,152000.00,40000.00,13000.00
 Cameroun,32,2013,Maïs,2514,1686000.00,495000.00,25000.00,192000.00,37000.00,935000.00,2000.00
 Canada,33,2013,Blé,2511,8381000.00,3731000.00,1031000.00,21000.00,0.00,2989000.00,664000.00
 Canada,33,2013,Maïs,2514,13283000.00,10723000.00,16000.00,452000.00,1176000.00,667000.00,249000.00
 Canada,33,2013,Orge,2513,8405000.00,7313000.00,207000.00,0.00,869000.00,16000.00,0.00
 Chili,40,2013,Blé,2511,2097000.00,145000.00,41000.00,64000.00,0.00,1845000.00,2000.00
 Chili,40,2013,Maïs,2514,2558000.00,1920000.00,2000.00,26000.00,0.00,371000.00,239000.00
 Chili,40,2013,Orge,2513,147000.00,20000.00,2000.00,5000.00,71000.00,13000.00,36000.00
 Chili,40,2013,"Plantes Oleiferes, Autre",2570,7000.00,2000.00,0.00,0.00,2000.00,0.00,2000.00
 Taiwan,214,2013,Maïs,2514,4228000.00,3800000.00,1000.00,43000.00,158000.00,195000.00,30000.00
 Taiwan,214,2013,Riz (Eq Blanchi),2805,1171000.00,65000.00,10000.00,12000.00,12000.00,1070000.00,1000.00
 Chine continentale,41,2013,Blé,2511,125247000.00,26628000.00,4600000.00,2990000.00,316000.00,87783000.00,2929000.00
 Chine continentale,41,2013,Graines Colza/Moutarde,2558,18137000.00,3715000.00,264000.00,726000.00,13341000.00,1000.00,91000.00
 Chine continentale,41,2013,Maïs,2514,212998000.00,150000000.00,1650000.00,10250000.00,6535000.00,9391000.00,35172000.00
 Chine continentale,41,2013,Orge,2513,3484000.00,23000.00,49000.00,200000.00,2997000.00,208000.00,7000.00
 Chine continentale,41,2013,Pommes de Terre,2531,96068000.00,22165000.00,3100000.00,4797000.00,8400000.00,57384000.00,221000.00
 Chine continentale,41,2013,Riz (Eq Blanchi),2805,133507000.00,12052000.00,4669000.00,6393000.00,0.00,108321000.00,2072000.00
 Chypre,50,2013,Blé,2511,114000.00,2000.00,2000.00,1000.00,0.00,95000.00,13000.00
 Colombie,44,2013,Pommes de Terre,2531,2247000.00,213000.00,85000.00,258000.00,73000.00,1616000.00,2000.00
 Croatie,98,2013,Blé,2511,680000.00,160000.00,34000.00,29000.00,0.00,457000.00,0.00
 Cuba,49,2013,Maïs,2514,1196000.00,797000.00,4000.00,60000.00,16000.00,318000.00,1000.00
 Côte d'Ivoire,107,2013,Riz (Eq Blanchi),2805,1677000.00,133000.00,28000.00,198000.00,25000.00,1291000.00,0.00
 Danemark,54,2013,Orge,2513,2882000.00,2505000.00,129000.00,119000.00,128000.00,0.00,0.00
 Danemark,54,2013,Seigle,2515,501000.00,390000.00,16000.00,16000.00,0.00,79000.00,0.00
 Dominique,55,2013,Racines nda,2534,19000.00,9000.00,3000.00,3000.00,0.00,4000.00,0.00
 Espagne,203,2013,Blé,2511,10827000.00,5800000.00,408000.00,104000.00,40000.00,4405000.00,70000.00
 Espagne,203,2013,Maïs,2514,10422000.00,9120000.00,20000.00,19000.00,84000.00,93000.00,1085000.00
 Espagne,203,2013,"Plantes Oleiferes, Autre",2570,191000.00,85000.00,0.00,0.00,98000.00,7000.00,1000.00
 Espagne,203,2013,Pommes de Terre,2531,3608000.00,132000.00,99000.00,132000.00,8000.00,2818000.00,420000.00
 Estonie,63,2013,Blé,2511,267000.00,104000.00,29000.00,4000.00,15000.00,115000.00,0.00
 Estonie,63,2013,Seigle,2515,41000.00,7000.00,3000.00,1000.00,0.00,29000.00,1000.00
 Eswatini,209,2013,Maïs,2514,198000.00,42000.00,3000.00,20000.00,13000.00,87000.00,32000.00
 Finlande,67,2013,Blé,2511,872000.00,345000.00,56000.00,0.00,0.00,445000.00,25000.00
 Finlande,67,2013,Orge,2513,1495000.00,1117000.00,120000.00,0.00,130000.00,33000.00,96000.00
 France,68,2013,Blé,2511,20298000.00,7822000.00,748000.00,358000.00,1575000.00,6971000.00,2824000.00
 France,68,2013,Maïs,2514,8221000.00,5200000.00,110000.00,130000.00,1485000.00,714000.00,582000.00
 France,68,2013,Orge,2513,3288000.00,2865000.00,230000.00,83000.00,11000.00,70000.00,29000.00
 France,68,2013,Pommes de Terre,2531,5930000.00,399000.00,350000.00,1050000.00,400000.00,3458000.00,273000.00
 France,68,2013,Riz (Eq Blanchi),2805,420000.00,101000.00,1000.00,1000.00,2000.00,314000.00,2000.00
 Fédération de Russie,185,2013,Blé,2511,34708000.00,8142000.00,6500000.00,399000.00,954000.00,18710000.00,3000.00
 Fédération de Russie,185,2013,Maïs,2514,9131000.00,7759000.00,81000.00,117000.00,1102000.00,58000.00,15000.00
 Fédération de Russie,185,2013,Orge,2513,13342000.00,8417000.00,2800000.00,156000.00,1821000.00,148000.00,1000.00
 Fédération de Russie,185,2013,Pommes de Terre,2531,30881000.00,5655000.00,6579000.00,1984000.00,400000.00,16178000.00,85000.00
 Grèce,84,2013,Blé,2511,2285000.00,550000.00,160000.00,27000.00,5000.00,1380000.00,163000.00
 Grèce,84,2013,Maïs,2514,2621000.00,2233000.00,11000.00,159000.00,39000.00,21000.00,156000.00
 Grèce,84,2013,Pommes de Terre,2531,1149000.00,83000.00,120000.00,90000.00,29000.00,806000.00,21000.00
 Grèce,84,2013,Riz (Eq Blanchi),2805,87000.00,6000.00,3000.00,5000.00,0.00,74000.00,0.00
 Guatemala,89,2013,Maïs,2514,2466000.00,480000.00,26000.00,55000.00,555000.00,1350000.00,0.00
 Guyana,91,2013,Riz (Eq Blanchi),2805,243000.00,91000.00,21000.00,27000.00,0.00,61000.00,42000.00
 Géorgie,73,2013,Blé,2511,836000.00,67000.00,13000.00,17000.00,27000.00,709000.00,3000.00
 Géorgie,73,2013,Maïs,2514,381000.00,174000.00,5000.00,17000.00,64000.00,118000.00,2000.00
 Hongrie,97,2013,Blé,2511,2939000.00,1158000.00,280000.00,90000.00,309000.00,1095000.00,7000.00
 Hongrie,97,2013,Graines Colza/Moutarde,2558,122000.00,0.00,2000.00,2000.00,112000.00,2000.00,4000.00
 Hongrie,97,2013,Maïs,2514,2852000.00,2099000.00,40000.00,125000.00,585000.00,3000.00,0.00
 Hongrie,97,2013,"Plantes Oleiferes, Autre",2570,19000.00,13000.00,0.00,0.00,1000.00,1000.00,4000.00
 Hongrie,97,2013,Pommes de Terre,2531,593000.00,13000.00,55000.00,13000.00,0.00,462000.00,51000.00
 Hongrie,97,2013,Riz (Eq Blanchi),2805,27000.00,5000.00,0.00,0.00,0.00,21000.00,0.00
 Inde,100,2013,Maïs,2514,18188000.00,6990000.00,946000.00,2330000.00,0.00,7876000.00,45000.00
 Inde,100,2013,"Plantes Oleiferes, Autre",2570,1714000.00,8000.00,17000.00,38000.00,1636000.00,3000.00,12000.00
 Indonésie,101,2013,Maïs,2514,20738000.00,6000000.00,180000.00,1277000.00,0.00,8820000.00,4461000.00
 Indonésie,101,2013,"Plantes Oleiferes, Autre",2570,175000.00,0.00,0.00,11000.00,329000.00,0.00,13000.00
 Indonésie,101,2013,Riz (Eq Blanchi),2805,46875000.00,1832000.00,404000.00,3664000.00,0.00,33637000.00,7338000.00
 Iran (République islamique d'),102,2013,Blé,2511,13800000.00,500000.00,734000.00,685000.00,0.00,11873000.00,8000.00
 Iran (République islamique d'),102,2013,Riz (Eq Blanchi),2805,2943000.00,534000.00,55000.00,33000.00,0.00,2320000.00,2000.00
 Irlande,104,2013,Blé,2511,1150000.00,600000.00,15000.00,21000.00,13000.00,500000.00,1000.00
 Irlande,104,2013,Pommes de Terre,2531,643000.00,4000.00,29000.00,11000.00,100000.00,435000.00,64000.00
 Israël,105,2013,Blé,2511,1782000.00,630000.00,12000.00,79000.00,0.00,857000.00,204000.00
 Israël,105,2013,Orge,2513,328000.00,300000.00,1000.00,1000.00,23000.00,4000.00,0.00
 Israël,105,2013,Pommes de Terre,2531,419000.00,0.00,20000.00,0.00,32000.00,309000.00,58000.00
 Italie,106,2013,Blé,2511,11050000.00,1680000.00,325000.00,36000.00,75000.00,8927000.00,7000.00
 Italie,106,2013,Graines Colza/Moutarde,2558,90000.00,0.00,0.00,2000.00,83000.00,4000.00,1000.00
 Italie,106,2013,Maïs,2514,11801000.00,10600000.00,33000.00,10000.00,515000.00,258000.00,386000.00
 Italie,106,2013,"Plantes Oleiferes, Autre",2570,359000.00,0.00,0.00,1000.00,358000.00,0.00,0.00
 Italie,106,2013,Riz (Eq Blanchi),2805,429000.00,12000.00,29000.00,1000.00,27000.00,350000.00,11000.00
 Jamaïque,109,2013,Riz (Eq Blanchi),2805,78000.00,2000.00,0.00,1000.00,10000.00,65000.00,0.00
 Japon,110,2013,Blé,2511,7282000.00,1156000.00,20000.00,165000.00,152000.00,5727000.00,62000.00
 Japon,110,2013,Maïs,2514,14661000.00,10964000.00,0.00,3000.00,2235000.00,1171000.00,288000.00
 Japon,110,2013,Patates douces,2533,985000.00,3000.00,14000.00,7000.00,47000.00,884000.00,29000.00
 Japon,110,2013,"Plantes Oleiferes, Autre",2570,7000.00,0.00,0.00,0.00,5000.00,1000.00,1000.00
 Japon,110,2013,Pommes de Terre,2531,3154000.00,3000.00,149000.00,204000.00,98000.00,2664000.00,37000.00
 Japon,110,2013,Riz (Eq Blanchi),2805,8210000.00,101000.00,30000.00,135000.00,319000.00,7609000.00,16000.00
 Jordanie,112,2013,Maïs,2514,579000.00,497000.00,0.00,23000.00,29000.00,19000.00,11000.00
 Kazakhstan,108,2013,Blé,2511,6654000.00,1542000.00,2230000.00,716000.00,161000.00,1518000.00,486000.00
 Kazakhstan,108,2013,Graines de tournesol,2557,447000.00,4000.00,16000.00,14000.00,401000.00,12000.00,0.00
 Kazakhstan,108,2013,"Légumes, Autres",2605,4163000.00,1348000.00,30000.00,113000.00,33000.00,2298000.00,341000.00
 Kazakhstan,108,2013,Orge,2513,1983000.00,1270000.00,284000.00,213000.00,95000.00,120000.00,0.00
 Kazakhstan,108,2013,Pommes de Terre,2531,3481000.00,383000.00,373000.00,305000.00,9000.00,1831000.00,581000.00
 Kenya,114,2013,Maïs,2514,3697000.00,115000.00,61000.00,74000.00,20000.00,3380000.00,48000.00
 Lettonie,119,2013,Blé,2511,345000.00,69000.00,95000.00,13000.00,20000.00,148000.00,0.00
 Lettonie,119,2013,Orge,2513,196000.00,92000.00,21000.00,4000.00,31000.00,48000.00,0.00
 Lettonie,119,2013,Pommes de Terre,2531,510000.00,110000.00,100000.00,10000.00,42000.00,239000.00,9000.00
 Lituanie,126,2013,Blé,2511,980000.00,246000.00,139000.00,31000.00,46000.00,367000.00,152000.00
 Lituanie,126,2013,Orge,2513,543000.00,374000.00,38000.00,15000.00,56000.00,24000.00,36000.00
 Lituanie,126,2013,Pommes de Terre,2531,532000.00,113000.00,90000.00,29000.00,10000.00,289000.00,1000.00
 Luxembourg,256,2013,Graines Colza/Moutarde,2558,4000.00,0.00,0.00,2000.00,2000.00,0.00,0.00
 Madagascar,129,2013,Riz (Eq Blanchi),2805,2906000.00,119000.00,75000.00,355000.00,6000.00,2350000.00,0.00
 Malaisie,131,2013,Maïs,2514,3846000.00,3171000.00,0.00,174000.00,10000.00,470000.00,22000.00
 Malaisie,131,2013,Riz (Eq Blanchi),2805,2882000.00,52000.00,13000.00,131000.00,0.00,2415000.00,271000.00
 Malawi,130,2013,Maïs,2514,3699000.00,510000.00,55000.00,999000.00,20000.00,2115000.00,0.00
 Mali,133,2013,Millet,2517,1352000.00,162000.00,52000.00,154000.00,19000.00,865000.00,100000.00
 Maroc,143,2013,Blé,2511,9318000.00,2000000.00,299000.00,738000.00,0.00,5932000.00,350000.00
 Maroc,143,2013,Orge,2513,2909000.00,1000000.00,127000.00,232000.00,19000.00,1330000.00,200000.00
 Maroc,143,2013,"Plantes Oleiferes, Autre",2570,9000.00,0.00,0.00,0.00,9000.00,0.00,0.00
 Mexique,138,2013,Maïs,2514,31707000.00,12615000.00,370000.00,2858000.00,1602000.00,14232000.00,30000.00
 Mexique,138,2013,"Plantes Oleiferes, Autre",2570,112000.00,11000.00,4000.00,6000.00,60000.00,0.00,32000.00
 Mexique,138,2013,Soja,2555,3854000.00,959000.00,7000.00,116000.00,2440000.00,2000.00,330000.00
 Mongolie,141,2013,Blé,2511,465000.00,48000.00,24000.00,17000.00,22000.00,354000.00,0.00
 Mongolie,141,2013,Orge,2513,23000.00,2000.00,0.00,0.00,14000.00,7000.00,0.00
 Monténégro,273,2013,Maïs,2514,23000.00,13000.00,0.00,1000.00,1000.00,3000.00,5000.00
 Monténégro,273,2013,Orge,2513,7000.00,0.00,0.00,0.00,3000.00,0.00,4000.00
 Myanmar,28,2013,Riz (Eq Blanchi),2805,19596000.00,7882000.00,556000.00,576000.00,2753000.00,7073000.00,757000.00
 Nicaragua,157,2013,Maïs,2514,659000.00,30000.00,21000.00,135000.00,0.00,417000.00,56000.00
 Nigéria,159,2013,Maïs,2514,10440000.00,3120000.00,130000.00,1162000.00,311000.00,5680000.00,36000.00
 Nigéria,159,2013,"Plantes Oleiferes, Autre",2570,840000.00,1000.00,51000.00,77000.00,427000.00,285000.00,0.00
 Norvège,162,2013,Pommes de Terre,2531,340000.00,23000.00,31000.00,7000.00,10000.00,267000.00,3000.00
 Nouvelle-Zélande,156,2013,Blé,2511,772000.00,320000.00,9000.00,17000.00,77000.00,347000.00,3000.00
 Nouvelle-Zélande,156,2013,Orge,2513,393000.00,325000.00,8000.00,9000.00,47000.00,2000.00,2000.00
 Oman,221,2013,"Céréales, Autres",2520,16000.00,1000.00,0.00,0.00,0.00,15000.00,0.00
 Ouganda,226,2013,Maïs,2514,2858000.00,300000.00,33000.00,299000.00,385000.00,1839000.00,1000.00
 Ouzbékistan,235,2013,Riz (Eq Blanchi),2805,127000.00,2000.00,7000.00,6000.00,0.00,112000.00,1000.00
 Pakistan,165,2013,Blé,2511,24373000.00,485000.00,1333000.00,615000.00,5000.00,20696000.00,1238000.00
 Pakistan,165,2013,Maïs,2514,4387000.00,910000.00,114000.00,228000.00,46000.00,2649000.00,441000.00
 Pakistan,165,2013,Orge,2513,68000.00,33000.00,5000.00,2000.00,1000.00,27000.00,0.00
 Pakistan,165,2013,"Plantes Oleiferes, Autre",2570,475000.00,0.00,14000.00,10000.00,185000.00,267000.00,0.00
 Paraguay,169,2013,Maïs,2514,976000.00,128000.00,21000.00,289000.00,134000.00,403000.00,1000.00
 Pays-Bas,150,2013,Blé,2511,4901000.00,2900000.00,98000.00,29000.00,42000.00,1176000.00,656000.00
 Pays-Bas,150,2013,Maïs,2514,3662000.00,2920000.00,8000.00,30000.00,222000.00,41000.00,441000.00
 Pays-Bas,150,2013,Pommes de Terre,2531,2919000.00,550000.00,238000.00,185000.00,147000.00,1522000.00,277000.00
 Philippines,171,2013,Coco (Incl Coprah),2560,14922000.00,46000.00,154000.00,8000.00,8586000.00,416000.00,5713000.00
 Philippines,171,2013,Riz (Eq Blanchi),2805,13050000.00,402000.00,155000.00,721000.00,2000.00,11752000.00,17000.00
 Pologne,173,2013,Blé,2511,8533000.00,2600000.00,600000.00,500000.00,24000.00,4159000.00,650000.00
 Pologne,173,2013,"Céréales, Autres",2520,7171000.00,6238000.00,419000.00,145000.00,0.00,88000.00,280000.00
 Pologne,173,2013,"Plantes Oleiferes, Autre",2570,51000.00,4000.00,0.00,1000.00,40000.00,2000.00,4000.00
 Pologne,173,2013,Pommes de Terre,2531,6881000.00,1505000.00,700000.00,400000.00,100000.00,3974000.00,201000.00
 Portugal,174,2013,Blé,2511,1504000.00,394000.00,9000.00,4000.00,95000.00,1000000.00,1000.00
 Portugal,174,2013,Maïs,2514,2619000.00,2319000.00,4000.00,15000.00,32000.00,187000.00,62000.00
 Portugal,174,2013,Pommes de Terre,2531,930000.00,36000.00,78000.00,27000.00,0.00,738000.00,51000.00
 Pérou,170,2013,Orge,2513,419000.00,56000.00,18000.00,16000.00,172000.00,119000.00,38000.00
 Pérou,170,2013,"Plantes Oleiferes, Autre",2570,120000.00,67000.00,0.00,0.00,0.00,52000.00,3000.00
 Roumanie,183,2013,Blé,2511,4743000.00,521000.00,590000.00,42000.00,2000.00,2926000.00,662000.00
 Roumanie,183,2013,Maïs,2514,7709000.00,6570000.00,63000.00,138000.00,56000.00,878000.00,3000.00
 Roumanie,183,2013,Orge,2513,742000.00,142000.00,114000.00,89000.00,365000.00,29000.00,3000.00
 Roumanie,183,2013,"Plantes Oleiferes, Autre",2570,23000.00,6000.00,0.00,0.00,13000.00,0.00,3000.00
 Royaume-Uni,229,2013,Blé,2511,14529000.00,6632000.00,290000.00,230000.00,324000.00,6251000.00,801000.00
 République de Corée,117,2013,Blé,2511,4436000.00,1900000.00,1000.00,30000.00,0.00,2505000.00,0.00
 République de Corée,117,2013,Maïs,2514,8749000.00,6281000.00,1000.00,176000.00,1631000.00,614000.00,47000.00
 République de Corée,117,2013,Orge,2513,350000.00,0.00,2000.00,7000.00,328000.00,13000.00,0.00
 République de Corée,117,2013,Patates douces,2533,331000.00,78000.00,20000.00,33000.00,0.00,200000.00,0.00
 République de Corée,117,2013,Pommes de Terre,2531,1278000.00,95000.00,21000.00,76000.00,355000.00,731000.00,0.00
 République de Moldova,146,2013,Maïs,2514,1294000.00,868000.00,12000.00,73000.00,20000.00,320000.00,1000.00
 République démocratique populaire lao,120,2013,Riz (Eq Blanchi),2805,2290000.00,228000.00,137000.00,137000.00,111000.00,1077000.00,600000.00
 République populaire démocratique de Corée,116,2013,Maïs,2514,2102000.00,118000.00,37000.00,159000.00,398000.00,1140000.00,250000.00
 République-Unie de Tanzanie,215,2013,Maïs,2514,4614000.00,950000.00,82000.00,680000.00,22000.00,2880000.00,1000.00
 Saint-Vincent-et-les Grenadines,191,2013,Maïs,2514,7000.00,5000.00,0.00,1000.00,0.00,1000.00,0.00
 Serbie,272,2013,Maïs,2514,4996000.00,4309000.00,30000.00,294000.00,144000.00,219000.00,1000.00
 Serbie,272,2013,Orge,2513,346000.00,205000.00,18000.00,8000.00,104000.00,10000.00,1000.00
 Serbie,272,2013,Soja,2555,272000.00,11000.00,6000.00,20000.00,230000.00,0.00,4000.00
 Slovaquie,199,2013,Maïs,2514,1105000.00,541000.00,40000.00,55000.00,216000.00,0.00,252000.00
 Slovaquie,199,2013,"Plantes Oleiferes, Autre",2570,4000.00,1000.00,0.00,0.00,1000.00,1000.00,1000.00
 Slovénie,198,2013,Blé,2511,302000.00,10000.00,8000.00,56000.00,0.00,214000.00,14000.00
 Sri Lanka,38,2013,Riz (Eq Blanchi),2805,2613000.00,0.00,61000.00,179000.00,3000.00,2334000.00,37000.00
 Suisse,211,2013,Blé,2511,1115000.00,260000.00,18000.00,83000.00,31000.00,723000.00,0.00
 Suisse,211,2013,Maïs,2514,246000.00,234000.00,1000.00,1000.00,4000.00,6000.00,0.00
 Suisse,211,2013,Orge,2513,320000.00,206000.00,5000.00,2000.00,80000.00,13000.00,14000.00
 Suisse,211,2013,Pommes de Terre,2531,471000.00,18000.00,22000.00,15000.00,87000.00,329000.00,0.00
 Suriname,207,2013,Riz (Eq Blanchi),2805,112000.00,7000.00,5000.00,29000.00,7000.00,37000.00,26000.00
 Suède,210,2013,Blé,2511,1903000.00,750000.00,70000.00,50000.00,269000.00,762000.00,3000.00
 Suède,210,2013,Pommes de Terre,2531,1055000.00,35000.00,46000.00,75000.00,0.00,572000.00,327000.00
 Tchéquie (la),167,2013,Blé,2511,3302000.00,1350000.00,188000.00,41000.00,40000.00,992000.00,692000.00
 Tchéquie (la),167,2013,Orge,2513,1039000.00,524000.00,105000.00,10000.00,393000.00,2000.00,5000.00
 Tchéquie (la),167,2013,"Plantes Oleiferes, Autre",2570,1000.00,0.00,0.00,0.00,2000.00,1000.00,1000.00
 Tchéquie (la),167,2013,Pommes de Terre,2531,878000.00,0.00,61000.00,4000.00,5000.00,808000.00,0.00
 Tchéquie (la),167,2013,Seigle,2515,160000.00,6000.00,8000.00,7000.00,0.00,129000.00,10000.00
 Turquie,223,2013,Blé,2511,17966000.00,211000.00,1399000.00,2300000.00,0.00,12736000.00,1320000.00
 Turquie,223,2013,Maïs,2514,7053000.00,4100000.00,55000.00,236000.00,96000.00,1821000.00,745000.00
 Turquie,223,2013,Orge,2513,8187000.00,6213000.00,557000.00,1185000.00,191000.00,0.00,41000.00
 Turquie,223,2013,"Plantes Oleiferes, Autre",2570,167000.00,52000.00,1000.00,3000.00,48000.00,55000.00,9000.00
 Ukraine,230,2013,Blé,2511,11166000.00,4169000.00,1618000.00,505000.00,97000.00,4757000.00,20000.00
 Ukraine,230,2013,Maïs,2514,14190000.00,11393000.00,242000.00,1235000.00,827000.00,480000.00,14000.00
 Ukraine,230,2013,Orge,2513,5146000.00,3638000.00,670000.00,153000.00,543000.00,140000.00,2000.00
 Ukraine,230,2013,Pommes de Terre,2531,22801000.00,7377000.00,5660000.00,1400000.00,915000.00,6150000.00,1299000.00
 Uruguay,234,2013,Maïs,2514,373000.00,210000.00,4000.00,41000.00,19000.00,91000.00,8000.00
 Uruguay,234,2013,"Plantes Oleiferes, Autre",2570,6000.00,0.00,0.00,0.00,5000.00,0.00,0.00
 Venezuela (République bolivarienne du),236,2013,Maïs,2514,3872000.00,2042000.00,2000.00,97000.00,51000.00,1680000.00,1000.00
 Venezuela (République bolivarienne du),236,2013,Pommes de Terre,2531,667000.00,13000.00,35000.00,31000.00,0.00,584000.00,3000.00
 Venezuela (République bolivarienne du),236,2013,Riz (Eq Blanchi),2805,1019000.00,260000.00,17000.00,21000.00,11000.00,711000.00,0.00
 Viet Nam,237,2013,Riz (Eq Blanchi),2805,21391000.00,2712000.00,881000.00,2703000.00,362000.00,13253000.00,1481000.00
 Zambie,251,2013,Maïs,2514,2293000.00,400000.00,30000.00,76000.00,42000.00,1725000.00,19000.00
 Égypte,59,2013,Blé,2511,19341000.00,4860000.00,217000.00,2224000.00,0.00,12048000.00,0.00
 Égypte,59,2013,Maïs,2514,13802000.00,7032000.00,32000.00,1186000.00,148000.00,5122000.00,282000.00
 Égypte,59,2013,"Plantes Oleiferes, Autre",2570,9000.00,0.00,1000.00,1000.00,7000.00,0.00,0.00
