auteur;genre;ethnie;religion;date_naissance;vivant;orientation_sexuelle
Adam Carolla;Homme;blanc;athee;27-05-1964;Oui;heterosexuel
Adam Ferrara;Homme;blanc;athee;02-02-1966;Oui;heterosexuel
Adam Sandler;Homme;blanc;juif;09-09-1966;Oui;heterosexuel
Aisha Tyler;Femme;afro-americain;athee;18-09-1970;Oui;heterosexuel
Al Madrigal;Homme;hispanique;athee;04-07-1971;Oui;heterosexuel
Alan Carr;Homme;blanc;athee;14-06-1976;Oui;heterosexuel
Alan King;Homme;blanc;athee;26-12-1927;Non;heterosexuel
Albert Brooks;Homme;blanc;athee;22-07-1947;Oui;heterosexuel
Alonzo Bodden;Homme;afro-americain;athee;13-06-1962;Oui;heterosexuel
Amy Poehler;Femme;blanc;athee;16-09-1971;Oui;heterosexuel
Amy Schumer;Femme;blanc;athee;01-06-1981;Oui;heterosexuel
Andrew Dice Clay;Homme;blanc;juif;29-09-1957;Oui;heterosexuel
Andrew Lawrence;Homme;blanc;athee;12-01-1988;Oui;heterosexuel
Andy Kaufman;Homme;blanc;juif;17-01-1949;Non;heterosexuel
Andy Kindler;Homme;blanc;juif;16-10-1956;Oui;heterosexuel
Andy Rooney;Homme;blanc;athee;14-01-1919;Non;heterosexuel
Ant;Homme;blanc;athee;22-08-1967;Oui;homosexuel
Anthony Jeselnik;Homme;blanc;athee;22-12-1978;Oui;heterosexuel
Aries Spears;Homme;afro-americain;athee;03-04-1975;Oui;heterosexuel
Arj Barker;Homme;indo-americain;athee;12-08-1974;Oui;heterosexuel
Artie Lange;Homme;blanc;athee;11-10-1967;Oui;heterosexuel
Aziz Ansari;Homme;indo-americain;athee;23-02-1983;Oui;heterosexuel
Benny Hill;Homme;blanc;athee;21-01-1924;Non;heterosexuel
Bernard Manning;Homme;blanc;athee;13-08-1930;Non;heterosexuel
Bernie Mac;Homme;afro-americain;athee;05-10-1957;Non;heterosexuel
Bill Bailey;Homme;blanc;athee;13-01-1965;Oui;heterosexuel
Bill Bellamy;Homme;afro-americain;athee;07-04-1965;Oui;heterosexuel
Bill Burr;Homme;blanc;athee;10-06-1968;Oui;heterosexuel
Bill Cosby;Homme;afro-americain;athee;12-07-1937;Oui;heterosexuel
Bill Engvall;Homme;blanc;athee;27-07-1957;Oui;heterosexuel
Bill Hicks;Homme;blanc;athee;16-12-1961;Non;heterosexuel
Bill Maher;Homme;blanc;athee;20-01-1956;Oui;heterosexuel
Billy Connolly;Homme;blanc;athee;24-11-1942;Oui;heterosexuel
Billy Crystal;Homme;blanc;athee;14-03-1948;Oui;heterosexuel
Bo Burnham;Homme;blanc;athee;21-08-1990;Oui;heterosexuel
Bob Hope;Homme;blanc;athee;29-05-1903;Non;heterosexuel
Bob Monkhouse;Homme;blanc;athee;01-06-1928;Non;heterosexuel
Bob Newhart;Homme;blanc;athee;05-09-1929;Oui;heterosexuel
Bob Saget;Homme;blanc;juif;17-05-1956;Oui;heterosexuel
Bobby Slayton;Homme;blanc;athee;21-05-1955;Oui;heterosexuel
Bobcat Goldthwait;Homme;blanc;athee;26-05-1962;Oui;heterosexuel
Bonnie McFarlane;Femme;blanc;athee;28-03-1973;Oui;heterosexuel
Brad Stine;Homme;blanc;chretien;21-01-1960;Oui;heterosexuel
Brett Butler;Femme;blanc;athee;30-01-1958;Oui;heterosexuel
Brian Posehn;Homme;blanc;athee;06-07-1966;Oui;heterosexuel
Brian Regan;Homme;blanc;athee;02-06-1958;Oui;heterosexuel
Bruce Bruce;Homme;afro-americain;athee;09-02-1965;Oui;heterosexuel
Buddy Hackett;Homme;blanc;athee;31-08-1924;Non;heterosexuel
Carl Barron;Homme;blanc;athee;11-06-1964;Oui;heterosexuel
Carlos Mencia;Homme;hispanique;athee;22-10-1967;Oui;heterosexuel
Carol Leifer;Femme;blanc;athee;27-07-1956;Oui;heterosexuel
Carrot Top;Homme;blanc;athee;25-02-1965;Oui;heterosexuel
Cedric the Entertainer;Homme;afro-americain;athee;24-04-1964;Oui;heterosexuel
Chelsea Handler;Femme;blanc;athee;25-02-1975;Oui;heterosexuel
Chelsea Peretti;Femme;blanc;athee;20-02-1978;Oui;heterosexuel
Chic Murray;Homme;blanc;athee;06-11-1919;Non;heterosexuel
Chris Hardwick;Homme;blanc;athee;23-11-1971;Oui;heterosexuel
Chris Rock;Homme;afro-americain;athee;07-02-1965;Oui;heterosexuel
Chris Tucker;Homme;afro-americain;athee;31-08-1971;Oui;heterosexuel
Christian Finnegan;Homme;blanc;athee;01-04-1973;Oui;heterosexuel
Christopher Titus;Homme;blanc;athee;01-10-1964;Oui;heterosexuel
Colin Quinn;Homme;blanc;athee;06-06-1959;Oui;heterosexuel
Craig Ferguson;Homme;blanc;athee;17-05-1962;Oui;heterosexuel
D. L. Hughley;Homme;afro-americain;athee;06-03-1963;Oui;heterosexuel
Damon Wayans;Homme;afro-americain;athee;04-09-1960;Oui;heterosexuel
Dana Carvey;Homme;blanc;athee;02-06-1955;Oui;heterosexuel
Dana Gould;Homme;blanc;athee;24-08-1964;Oui;heterosexuel
Dane Cook;Homme;blanc;athee;18-03-1972;Oui;heterosexuel
Daniel Tosh;Homme;blanc;athee;29-05-1975;Oui;heterosexuel
Dara O Briain;Homme;blanc;athee;04-02-1972;Oui;heterosexuel
Dat Phan;Homme;asiatique;athee;25-01-1975;Oui;heterosexuel
Dave Attell;Homme;blanc;juif;18-01-1965;Oui;heterosexuel
Dave Chappelle;Homme;afro-americain;athee;24-08-1973;Oui;heterosexuel
David Alan Grier;Homme;afro-americain;athee;30-06-1956;Oui;heterosexuel
David Brenner;Homme;blanc;athee;04-02-1936;Non;heterosexuel
David Cross;Homme;blanc;athee;04-04-1964;Oui;heterosexuel
David Letterman;Homme;blanc;athee;12-04-1947;Oui;heterosexuel
David Mitchell;Homme;blanc;athee;12-01-1969;Oui;heterosexuel
David Spade;Homme;blanc;athee;22-07-1964;Oui;heterosexuel
David Steinberg;Homme;banc;athee;09-08-1942;Oui;heterosexuel
Demetri Martin;Homme;blanc;athee;25-05-1973;Oui;heterosexuel
Denis Leary;Homme;blanc;athee;18-08-1957;Oui;heterosexuel
Dennis Miller;Homme;blanc;athee;03-11-1953;Oui;heterosexuel
Dick Gregory;Homme;afro-americain;athee;12-10-1932;Non;heterosexuel
Dom Irrera;Homme;italo-americain;athee;18-11-1948;Oui;heterosexuel
Don Rickles;Homme;blanc;athee;08-05-1926;Non;heterosexuel
Donald Glover;Homme;afro-americain;athee;25-09-1983;Oui;heterosexuel
Donnell Rawlings;Homme;afro-americain;athee;06-12-1968;Oui;heterosexuel
Doug Benson;Homme;blanc;athee;10-07-1961;Oui;heterosexuel
Doug Stanhope;Homme;blanc;athee;25-03-1967;Oui;heterosexuel
Dov Davidoff;Homme;blanc;athee;22-09-1973;Oui;heterosexuel
Drew Carey;Homme;blanc;athee;23-05-1958;Oui;heterosexuel
Dylan Moran;Homme;blanc;athee;03-11-1971;Oui;heterosexuel
Earthquake;Homme;afro-americain;athee;29-05-1963;Oui;heterosexuel
Eddie Griffin;Homme;afro-americain;athee;15-07-1968;Oui;heterosexuel
Eddie Izzard;Homme;blanc;athee;07-02-1962;Oui;travesti
Eddie Murphy;Homme;afro-americain;athee;03-04-1961;Oui;heterosexuel
Ellen DeGeneres;Femme;blanc;athee;26-01-1958;Oui;homosexuel
Emo Philips;Homme;blanc;athee;07-02-1956;Oui;heterosexuel
Eugene Mirman;Homme;russo-americain;athee;24-07-1974;Oui;heterosexuel
Felipe Esparza;Homme;hispanique;athee;11-06-1976;Oui;heterosexuel
Flight of the Conchords;Homme;blanc;athee;10-01-1974;Oui;heterosexuel
Flip Wilson;Homme;afro-americain;athee;08-12-1933;Non;heterosexuel
Frank Caliendo;Homme;blanc;athee;19-01-1974;Oui;heterosexuel
Frank Carson;Homme;blanc;athee;06-11-2012;Non;heterosexuel
Frankie Boyle;Homme;blanc;athee;16-08-1972;Oui;heterosexuel
Franklyn Ajaye;Homme;afro-americain;athee;13-05-1949;Oui;heterosexuel
Fred Allen;Homme;blanc;athee;31-05-1894;Non;heterosexuel
Freddie Prinze;Homme;blanc;athee;08-03-1976;Oui;heterosexuel
Gabriel Iglesias;Homme;hispanique;athee;15-06-1976;Oui;heterosexuel
Gallagher;Homme;blanc;athee;24-07-1946;Oui;heterosexuel
Garrison Keillor;Homme;blanc;athee;07-08-1942;Oui;heterosexuel
Garry Shandling;Homme;blanc;athee;29-11-1949;Non;heterosexuel
Gary Gulman;Homme;blanc;juif;17-07-1970;Oui;heterosexuel
Gary Owen;Homme;blanc;athee;26-07-1974;Oui;heterosexuel
George Burns;Homme;blanc;juif;20-01-1896;Non;heterosexuel
George Carlin;Homme;blanc;athee;12-05-1937;Non;heterosexuel
George Lopez;Homme;hispanique;athee;23-04-1961;Oui;heterosexuel
George Wallace;Homme;afro-americain;athee;21-07-1952;Oui;heterosexuel
Gilbert Gottfried;Homme;blanc;athee;28-02-1955;Oui;heterosexuel
Godfrey;Homme;afro-americain;athee;21-07-1969;Oui;heterosexuel
Greg Behrendt;Homme;blanc;athee;21-07-1963;Oui;heterosexuel
Greg Fitzsimmons;Homme;blanc;athee;05-04-1966;Oui;heterosexuel
Greg Giraldo;Homme;blanc;athee;10-12-1965;Non;heterosexuel
Greg Proops;Homme;blanc;athee;03-10-1959;Oui;heterosexuel
Groucho Marx;Homme;blanc;juif;02-10-1890;Non;heterosexuel
Hannibal Buress;Homme;afro-americain;athee;04-02-1983;Oui;heterosexuel
Henny Youngman;Homme;blanc;athee;16-03-1906;Non;heterosexuel
Henry Cho;Homme;asiatique;athee;30-12-1962;Oui;heterosexuel
Howie Mandel;Homme;blanc;athee;29-11-1955;Oui;heterosexuel
Iliza Shlesinger;Femme;blanc;athee;22-02-1983;Oui;heterosexuel
J. B. Smoove;Homme;afro-americain;athee;16-12-1965;Oui;heterosexuel
Jack Benny;Homme;blanc;juif;14-02-1894;Non;heterosexuel
Jack Whitehall;Homme;blanc;athee;07-07-1988;Oui;heterosexuel
Jackie Mason;Homme;blanc;juif;09-06-1936;Oui;heterosexuel
Jake Johannsen;Homme;blanc;athee;28-07-1960;Oui;heterosexuel
Janeane Garofalo;Femme;blanc;athee;28-09-1964;Oui;asexuel
Jay Leno;Homme;blanc;athee;28-04-1950;Oui;heterosexuel
Jay Mohr;Homme;blanc;athee;23-08-1970;Oui;heterosexuel
Jeff Foxworthy;Homme;blanc;athee;09-09-1958;Oui;heterosexuel
Jeff Ross;Homme;blanc;athee;13-09-1965;Oui;heterosexuel
Jen Kirkman;Femme;blanc;athee;28-08-1974;Oui;heterosexuel
Jerry Seinfeld;Homme;blanc;athee;29-04-1954;Oui;heterosexuel
Jim Breuer;Homme;blanc;athee;21-06-1967;Oui;heterosexuel
Jim Carrey;Homme;blanc;athee;17-01-1962;Oui;heterosexuel
Jim Gaffigan;Homme;blanc;athee;07-07-1966;Oui;heterosexuel
Jim Jefferies;Homme;blanc;athee;14-02-1977;Oui;heterosexuel
Jim Norton;Homme;blanc;athee;19-07-1968;Oui;heterosexuel
Jimmy Carr;Homme;blanc;athee;15-09-1972;Oui;heterosexuel
Jo Koy;Homme;asiatique;athee;02-06-1971;Oui;heterosexuel
Joan Rivers;Femme;blanc;juif;08-06-1933;Non;heterosexuel
Joe Mande;Homme;hispanique;athee;16-03-1983;Oui;heterosexuel
Joey Adams;Homme;blanc;athee;06-01-1911;Non;heterosexuel
Joey Bishop;Homme;blanc;juif;03-02-1918;Non;heterosexuel
John Bishop;Homme;blanc;athee;30-11-1966;Oui;heterosexuel
John Caparulo;Homme;blanc;athee;22-09-1975;Oui;heterosexuel
John Heffron;Homme;blanc;athee;19-07-1970;Oui;heterosexuel
John Mulaney;Homme;blanc;athee;26-08-1982;Oui;heterosexuel
John Oliver;Homme;blanc;athee;23-04-1977;Oui;heterosexuel
John Pinette;Homme;blanc;athee;23-03-1964;Non;heterosexuel
Johnny Carson;Homme;blanc;athee;23-10-1925;Non;heterosexuel
Jon Stewart;Homme;blanc;juif;28-11-1962;Oui;heterosexuel
Jonathan Katz;Homme;blanc;athee;01-12-1946;Oui;heterosexuel
Jonathan Winters;Homme;blanc;athee;11-11-1925;Non;heterosexuel
Josh Blue;Homme;blanc;athee;27-11-1978;Oui;heterosexuel
Judy Gold;Femme;blanc;juif;15-11-1962;Oui;homosexuel
Judy Tenuta;Femme;blanc;chretien;07-11-1956;Oui;heterosexuel
Kathleen Madigan;Femme;blanc;athee;30-09-1965;Oui;heterosexuel
Kathy Griffin;Femme;blanc;athee;04-11-1960;Oui;heterosexuel
Katt Williams;Homme;afro-americain;athee;02-09-1971;Oui;heterosexuel
Kevin Barnett;Homme;afro-americain;athee;07-08-1986;Non;heterosexuel
Kevin Hart;Homme;afro-americain;athee;06-07-1941;Oui;heterosexuel
Kevin James;Homme;blanc;athee;26-04-1965;Oui;heterosexuel
Kevin Pollak;Homme;blanc;athee;30-10-1957;Oui;heterosexuel
Kristen Schaal;Femme;blanc;athee;24-01-1978;Oui;heterosexuel
Kyle Cease;Homme;blanc;athee;19-09-1977;Oui;heterosexuel
Larry Miller;Homme;blanc;athee;15-10-1953;Oui;heterosexuel
Larry the Cable Guy;Homme;blanc;athee;17-02-1963;Oui;heterosexuel
Laura Kightlinger;Femme;blanc;athee;13-06-1969;Oui;heterosexuel
Lavell Crawford;Homme;afro-americain;athee;11-11-1968;Oui;heterosexuel
Lee Evans;Homme;blanc;athee;25-02-1964;Oui;heterosexuel
Lee Mack;Homme;blanc;athee;04-08-1968;Oui;heterosexuel
Lenny Bruce;Homme;blanc;juif;13-10-1925;Non;heterosexuel
Lewis Black;Homme;blanc;athee;30-08-1948;Oui;heterosexuel
Lisa Lampanelli;Femme;blanc;athee;19-07-1961;Oui;heterosexuel
Louie Anderson;Homme;blanc;athee;24-03-1953;Oui;heterosexuel
Louis C. K.;Homme;blanc;athee;12-09-1967;Oui;heterosexuel
Lucille Ball;Femme;blanc;athee;06-08-1911;Non;heterosexuel
Lynne Koplitz;Femme;blanc;athee;13-06-1969;Oui;heterosexuel
Marc Maron;Homme;blanc;athee;27-09-1963;Oui;heterosexuel
Margaret Cho;Femme;asiatique;athee;05-12-1968;Oui;bisexuel
Maria Bamford;Femme;blanc;athee;03-09-1970;Oui;heterosexuel
Mario Cantone;Homme;blanc;athee;09-12-1959;Oui;heterosexuel
Mark Curry;Homme;afro-americain;athee;01-06-1961;Oui;heterosexuel
Mark Watson;Homme;blanc;athee;13-02-1980;Oui;heterosexuel
Martin Lawrence;Homme;afro-americain;athee;16-04-1965;Oui;heterosexuel
Maz Jobrani;Homme;americano-iranien;athee;26-02-1972;Oui;heterosexuel
Michael Blackson;Homme;afro-americain;athee;28-11-1972;Oui;heterosexuel
Michael Ian Black;Homme;blanc;juif;12-08-1971;Oui;heterosexuel
Michael McIntyre;Homme;blanc;athee;21-02-1976;Oui;heterosexuel
Mike Birbiglia;Homme;italo-americain;athee;20-06-1978;Oui;heterosexuel
Mike DeStefano;Homme;blanc;athee;29-11-1966;Non;heterosexuel
Milton Berle;Homme;blanc;juif;12-07-1908;Non;heterosexuel
Milton Jones;Homme;blanc;athee;16-05-1964;Oui;heterosexuel
Mitch Fatel;Homme;blanc;athee;20-12-1968;Oui;heterosexuel
Mitch Hedberg;Homme;blanc;athee;24-02-1968;Non;heterosexuel
Mort Sahl;Homme;blanc;athee;11-05-1927;Oui;heterosexuel
Myq Kaplan;Homme;blanc;athee;07-10-1978;Oui;heterosexuel
Natasha Leggero;Femme;blanc;athee;26-03-1974;Oui;heterosexuel
Nate Bargatze;Homme;blanc;athee;25-03-1979;Oui;heterosexuel
Nick Di Paolo;Homme;blanc;athee;31-01-1962;Oui;heterosexuel
Nick Kroll;Homme;blanc;athee;05-06-1978;Oui;heterosexuel
Nick Swardson;Homme;blanc;athee;09-10-1976;Oui;heterosexuel
Noel Fielding;Homme;blanc;athee;21-05-1976;Oui;heterosexuel
Norm Macdonald;Homme;blanc;athee;17-10-1959;Oui;heterosexuel
Pablo Francisco;Homme;blanc;athee;04-01-1974;Oui;heterosexuel
Pat Cooper;Homme;blanc;athee;31-07-1929;Oui;heterosexuel
Patrice O'Neal;Homme;afro-americain;athee;07-12-1969;Non;heterosexuel
Patton Oswalt;Homme;blanc;athee;27-01-1969;Oui;heterosexuel
Paul F Tompkins;Homme;blanc;athee;12-09-1968;Oui;heterosexuel
Paul Mooney;Homme;afro-americain;athee;04-08-1941;Oui;heterosexuel
Paul Reiser;Homme;blanc;athee;30-03-1956;Oui;heterosexuel
Paul Rodriguez;Homme;hispanique;athee;19-01-1955;Oui;heterosexuel
Paula Poundstone;Femme;blanc;athee;29-12-1959;Oui;asexuel
Pete Correale;Homme;blanc;athee;20-04-1970;Oui;heterosexuel
Phyllis Diller;Femme;blanc;athee;17-07-1917;Non;heterosexuel
Ray Romano;Homme;italo-americain;athee;21-12-1957;Oui;heterosexuel
Red Buttons;Homme;blanc;juif;05-02-1919;Non;heterosexuel
Redd Foxx;Homme;afro-americain;athee;09-12-1922;Non;heterosexuel
Rene Hicks;Femme;afro-americain;athee;28-06-1956;Oui;heterosexuel
Rhod Gilbert;Homme;blanc;athee;18-10-1968;Oui;heterosexuel
Rich Vos;Homme;blanc;athee;30-06-1957;Oui;heterosexuel
Richard Belzer;Homme;blanc;athee;04-08-1944;Oui;heterosexuel
Richard Jeni;Homme;blanc;athee;14-04-1957;Non;heterosexuel
Richard Lewis;Homme;blanc;juif;29-06-1947;Oui;heterosexuel
Richard Pryor;Homme;afro-americain;athee;01-12-1940;Non;heterosexuel
Ricky Gervais;Homme;blanc;athee;25-06-1961;Oui;heterosexuel
Rita Rudner;Femme;blanc;athee;17-09-1953;Oui;heterosexuel
Robert Kelly;Homme;blanc;athee;08-10-1970;Oui;heterosexuel
Robert Klein;Homme;blanc;athee;08-02-1942;Oui;heterosexuel
Robert Schimmel;Homme;blanc;athee;16-01-1950;Non;heterosexuel
Robin Harris;Homme;afro-americain;athee;30-08-1953;Non;heterosexuel
Robin Williams;Homme;blanc;athee;21-07-1951;Non;heterosexuel
Rodney Carrington;Homme;blanc;athee;19-10-1968;Oui;heterosexuel
Rodney Dangerfield;Homme;blanc;athee;22-11-1921;Non;heterosexuel
Ron White;Homme;blanc;athee;18-12-1956;Oui;heterosexuel
Roseanne Barr;Femme;blanc;juif;03-11-1952;Oui;heterosexuel
Rowan Atkinson;Homme;blanc;athee;06-01-1955;Oui;heterosexuel
Roy Wood Jr;Homme;afro-americain;athee;11-12-1978;Oui;heterosexuel
Russell Brand;Homme;blanc;athee;04-06-1975;Oui;heterosexuel
Russell Howard;Homme;blanc;athee;23-03-1980;Oui;heterosexuel
Russell Peters;Homme;indo-americain;athee;29-09-1970;Oui;heterosexuel
Sabrina Matthews;Femme;blanc;athee;01-01-1987;Oui;homosexuel
Sam Kinison;Homme;blanc;athee;08-12-1953;Non;heterosexuel
Sandra Bernhard;Femme;blanc;athee;06-06-1955;Oui;bisexuel
Sarah Silverman;Femme;blanc;athee;01-12-1970;Oui;heterosexuel
Sean Rouse;Homme;blanc;athee;01-01-1975;Non;heterosexuel
Seann Walsh;Homme;blanc;athee;02-12-1985;Oui;heterosexuel
Shelley Berman;Homme;blanc;athee;03-02-1925;Non;heterosexuel
Sheryl Underwood;Femme;afro-americain;athee;28-10-1963;Oui;heterosexuel
Sinbad;Homme;afro-americain;athee;10-11-1956;Oui;heterosexuel
Sommore;Femme;afro-americain;athee;15-05-1966;Oui;heterosexuel
Stephen K. Amos;Homme;afro-americain;athee;03-12-1967;Oui;heterosexuel
Steve Byrne;Homme;blanc;athee;21-07-1974;Oui;heterosexuel
Steve Harvey;Homme;afro-americain;athee;17-01-1957;Oui;heterosexuel
Steve Hofstetter;Homme;blanc;juif;11-09-1979;Oui;heterosexuel
Steve Martin;Homme;blanc;athee;14-08-1945;Oui;heterosexuel
Steven Wright;Homme;blanc;athee;06-12-1955;Oui;heterosexuel
Stewart Lee;Homme;blanc;athee;05-04-1968;Oui;heterosexuel
Susie Essman;Femme;blanc;athee;31-05-1955;Oui;heterosexuel
T. J. Miller;Homme;blanc;athee;04-06-1981;Oui;heterosexuel
Ted Alexandro;Homme;blanc;athee;26-01-1969;Oui;heterosexuel
Tig Notaro;Femme;blanc;athee;24-03-1971;Oui;homosexuel
Tim Allen;Homme;blanc;athee;13-06-1953;Oui;heterosexuel
Tim Minchin;Homme;blanc;athee;07-10-1975;Oui;heterosexuel
Tim Vine;Homme;blanc;athee;07-10-1975;Oui;heterosexuel
Tina Fey;Femme;blanc;athee;18-05-1970;Oui;heterosexuel
Todd Barry;Homme;blanc;athee;26-03-1964;Oui;heterosexuel
Todd Glass;Homme;blanc;juif;16-12-1964;Oui;heterosexuel
Tom Papa;Homme;blanc;athee;10-11-1968;Oui;heterosexuel
Tom Rhodes;Homme;blanc;athee;14-01-1967;Oui;heterosexuel
Tommy Cooper;Homme;blanc;athee;19-03-1921;Non;heterosexuel
Tommy Johnagin;Homme;blanc;athee;25-03-1983;Oui;heterosexuel
Tracy Morgan;Homme;afro-americain;chretien;10-11-1968;Oui;heterosexuel
Wanda Sykes;Femme;afro-americain;athee;07-03-1964;Oui;homosexuel
Whitney Cummings;Femme;blanc;athee;04-09-1982;Oui;heterosexuel
Whoopi Goldberg;Femme;afro-americain;athee;13-11-1955;Oui;heterosexuel
Will Ferrell;Homme;blanc;athee;16-07-1967;Oui;heterosexuel
Woody Allen;Homme;blanc;juif;01-12-1935;Oui;heterosexuel
Yakov Smirnoff;Homme;blanc;juif;24-01-1951;Oui;heterosexuel
Zach Galifianakis;Homme;blanc;athee;01-10-1969;Oui;heterosexuel
